epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5968,0.88177,3.7378,1.21153,0.03803,0.77075,0.13752,0.1164,0.73318,3.05978,1.10758,0.000172257,0.000172257,0.000172257
2,152.664,0.74012,2.64853,1.09316,0.28181,0.49973,0.27581,0.21756,0.79832,2.31977,1.20085,0.00033612,0.00033612,0.00033612
3,227.662,0.74072,2.26536,1.08317,0.43118,0.53401,0.45978,0.36754,0.80254,1.99051,1.16729,0.000488411,0.000488411,0.000488411
4,303.185,0.71997,1.89659,1.06997,0.62019,0.6147,0.6504,0.535,0.73966,1.33039,1.09856,0.000473926,0.000473926,0.000473926
5,377.64,0.70408,1.57717,1.04985,0.72181,0.64342,0.74248,0.61625,0.68722,1.02197,1.04251,0.000456568,0.000456568,0.000456568
6,455.358,0.67394,1.36915,1.03255,0.76536,0.66104,0.76101,0.63243,0.73682,1.0888,1.08495,0.00043921,0.00043921,0.00043921
7,529.699,0.67122,1.24137,1.02503,0.83631,0.74267,0.83218,0.69812,0.67666,0.85749,1.04764,0.000421852,0.000421852,0.000421852
8,603.946,0.63827,1.11997,1.01523,0.8643,0.7602,0.85497,0.71568,0.65938,0.74096,1.02028,0.000404494,0.000404494,0.000404494
9,678.322,0.63622,1.06139,1.01073,0.91367,0.78218,0.88643,0.74412,0.64259,0.66319,1.00048,0.000387136,0.000387136,0.000387136
10,751.626,0.62209,0.981,0.99997,0.87817,0.81348,0.89784,0.75616,0.64807,0.65512,0.99653,0.000369778,0.000369778,0.000369778
11,825.591,0.62071,0.9413,0.99294,0.87665,0.79809,0.89035,0.75709,0.62233,0.60812,0.98087,0.00035242,0.00035242,0.00035242
12,898.791,0.60466,0.88627,0.99693,0.9212,0.80346,0.89734,0.75771,0.61745,0.58372,0.97634,0.000335062,0.000335062,0.000335062
13,973.507,0.59899,0.85203,0.99126,0.91261,0.81519,0.89987,0.75613,0.63522,0.58203,0.99763,0.000317704,0.000317704,0.000317704
14,1047.34,0.58883,0.81573,0.98392,0.93085,0.8264,0.90849,0.77162,0.60869,0.5194,0.97441,0.000300346,0.000300346,0.000300346
15,1121.57,0.58524,0.78447,0.97836,0.91912,0.84302,0.91216,0.77592,0.60454,0.5174,0.97469,0.000282988,0.000282988,0.000282988
16,1194.67,0.56996,0.75343,0.96988,0.93543,0.85041,0.92228,0.7839,0.60189,0.48746,0.97509,0.00026563,0.00026563,0.00026563
17,1268.09,0.56688,0.75104,0.97023,0.92488,0.84569,0.93202,0.79383,0.58745,0.46906,0.95464,0.000248272,0.000248272,0.000248272
18,1341.61,0.56773,0.73157,0.97333,0.94404,0.86579,0.94059,0.80018,0.58206,0.46055,0.95411,0.000230914,0.000230914,0.000230914
19,1414.56,0.55784,0.70757,0.9632,0.90932,0.87524,0.93273,0.79789,0.58051,0.44813,0.95337,0.000213556,0.000213556,0.000213556
20,1486.98,0.54381,0.68113,0.96858,0.93142,0.86653,0.93357,0.79434,0.58432,0.43425,0.96585,0.000196198,0.000196198,0.000196198
21,1562.85,0.55514,0.51236,0.94222,0.92231,0.88139,0.94216,0.79666,0.59815,0.44285,0.96737,0.00017884,0.00017884,0.00017884
22,1632.13,0.5478,0.49077,0.93199,0.93354,0.8777,0.94226,0.80392,0.58781,0.41794,0.95328,0.000161482,0.000161482,0.000161482
23,1701.35,0.53989,0.45799,0.93142,0.92321,0.90439,0.9502,0.80315,0.59358,0.4207,0.96243,0.000144124,0.000144124,0.000144124
24,1770.96,0.5349,0.4373,0.92417,0.93665,0.88708,0.95001,0.81295,0.58018,0.40366,0.95462,0.000126766,0.000126766,0.000126766
25,1840.66,0.52842,0.41991,0.92537,0.92347,0.90559,0.95621,0.82043,0.56936,0.38612,0.94907,0.000109408,0.000109408,0.000109408
26,1910.12,0.51676,0.40749,0.9178,0.91909,0.90353,0.9507,0.81905,0.56236,0.38142,0.93949,9.205e-05,9.205e-05,9.205e-05
27,1980.08,0.50409,0.3932,0.91191,0.96447,0.88397,0.95621,0.82733,0.55723,0.36195,0.93601,7.4692e-05,7.4692e-05,7.4692e-05
28,2049.35,0.50394,0.38592,0.90912,0.94588,0.87563,0.95304,0.82189,0.55437,0.35849,0.93604,5.7334e-05,5.7334e-05,5.7334e-05
29,2117.92,0.49342,0.37543,0.90331,0.95584,0.8903,0.95744,0.82685,0.55413,0.34661,0.93421,3.9976e-05,3.9976e-05,3.9976e-05
30,2186.68,0.48843,0.36354,0.90136,0.95584,0.88727,0.96006,0.82794,0.55325,0.34217,0.93318,2.2618e-05,2.2618e-05,2.2618e-05
